model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,params,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__n_estimators
random_forest,0.6024526596069336,0.0167415313274194,0.027171897888183593,0.002341255051004791,,"{'classifier__max_depth': None, 'classifier__max_features': 0.5, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 300}",0.9801341589267286,1.0,0.9963880288957688,0.9816821465428277,0.9762641898864809,0.9868937048503612,0.009463144837552954,14,0.9560439560439561,1.0,0.967032967032967,0.945054945054945,0.967032967032967,0.9670329670329672,0.018388132451298365,2,0.96875,1.0,1.0,0.9142857142857143,0.9696969696969697,0.9705465367965367,0.03131850075488217,3,0.9117647058823529,1.0,0.9117647058823529,0.9411764705882353,0.9411764705882353,0.9411764705882353,0.032218973970892135,4,0.9393939393939394,1.0,0.9538461538461539,0.927536231884058,0.9552238805970149,0.9552000411442332,0.024592637467086783,2,,0.5,1.0,300.0
random_forest,0.28339314460754395,0.008854123248980874,0.017056608200073244,0.0002746099191186474,,"{'classifier__max_depth': None, 'classifier__max_features': 0.5, 'classifier__min_samples_leaf': 3, 'classifier__n_estimators': 150}",0.978844169246646,1.0,0.9907120743034056,0.9865841073271414,0.9834881320949433,0.9879256965944272,0.007176610382131563,4,0.9560439560439561,1.0,0.945054945054945,0.945054945054945,0.978021978021978,0.964835164835165,0.021308482889742106,3,0.96875,1.0,0.967741935483871,0.8918918918918919,0.9705882352941176,0.9597944125339761,0.03601975527600051,10,0.9117647058823529,1.0,0.8823529411764706,0.9705882352941176,0.9705882352941176,0.9470588235294117,0.043226289578526686,1,0.9393939393939394,1.0,0.9230769230769231,0.9295774647887324,0.9705882352941176,0.9525273125107425,0.02879708119560725,3,,0.5,3.0,150.0
random_forest,0.55442214012146,0.013169885532310202,0.026022958755493163,0.000985783984500486,,"{'classifier__max_depth': None, 'classifier__max_features': 0.5, 'classifier__min_samples_leaf': 3, 'classifier__n_estimators': 300}",0.97781217750258,1.0,0.9896800825593395,0.9860681114551084,0.9829721362229101,0.9873065015479877,0.007446090405592346,10,0.945054945054945,1.0,0.945054945054945,0.9560439560439561,0.978021978021978,0.9648351648351647,0.021308482889742106,5,0.967741935483871,1.0,1.0,0.9411764705882353,0.9705882352941176,0.9759013282732448,0.02219059416477225,1,0.8823529411764706,1.0,0.8529411764705882,0.9411764705882353,0.9705882352941176,0.9294117647058824,0.05455069703232768,13,0.9230769230769231,1.0,0.9206349206349206,0.9411764705882353,0.9705882352941176,0.9510953099188393,0.030275044316525834,5,,0.5,3.0,300.0
random_forest,0.17482175827026367,0.003009802940068468,0.017374467849731446,0.0005330902389580234,,"{'classifier__max_depth': 5, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 150}",0.9798761609907121,1.0,0.9922600619195046,0.9829721362229102,0.9829721362229101,0.9876160990712075,0.007456095714422472,5,0.9560439560439561,1.0,0.945054945054945,0.945054945054945,0.967032967032967,0.9626373626373628,0.020381579110979577,6,0.96875,1.0,0.967741935483871,0.9142857142857143,0.9696969696969697,0.9640949238933111,0.027700127061974545,7,0.9117647058823529,1.0,0.8823529411764706,0.9411764705882353,0.9411764705882353,0.9352941176470588,0.03901911518065177,6,0.9393939393939394,1.0,0.9230769230769231,0.927536231884058,0.9552238805970149,0.9490461949903871,0.027801804542375345,6,5,sqrt,1.0,150.0
random_forest,0.35332522392272947,0.0030509162748369066,0.026265382766723633,0.0005550268793046611,,"{'classifier__max_depth': 5, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 300}",0.9809081527347782,1.0,0.9922600619195046,0.9845201238390092,0.9824561403508771,0.9880288957688338,0.0071453784821934995,2,0.9560439560439561,0.989010989010989,0.945054945054945,0.945054945054945,0.967032967032967,0.9604395604395606,0.016446845656149216,10,0.96875,0.9714285714285714,0.967741935483871,0.9142857142857143,0.9696969696969697,0.9583806381790254,0.02208088669446735,11,0.9117647058823529,1.0,0.8823529411764706,0.9411764705882353,0.9411764705882353,0.9352941176470588,0.03901911518065177,6,0.9393939393939394,0.9855072463768116,0.9230769230769231,0.927536231884058,0.9552238805970149,0.9461476442657494,0.022608899667129152,10,5,sqrt,1.0,300.0
random_forest,0.170257043838501,0.0008771594743878635,0.01785731315612793,0.0008774980823709797,,"{'classifier__max_depth': 5, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__n_estimators': 150}",0.9829721362229102,1.0,0.9891640866873065,0.9871001031991744,0.97781217750258,0.9874097007223943,0.007395860832680664,8,0.945054945054945,1.0,0.9340659340659341,0.945054945054945,0.967032967032967,0.9582417582417582,0.023466106048420466,13,0.967741935483871,1.0,0.9375,0.8918918918918919,0.9696969696969697,0.9533661594145466,0.03654830768131423,13,0.8823529411764706,1.0,0.8823529411764706,0.9705882352941176,0.9411764705882353,0.9352941176470588,0.04705882352941177,6,0.9230769230769231,1.0,0.9090909090909091,0.9295774647887324,0.9552238805970149,0.9433938355107159,0.03201427062003482,14,5,sqrt,3.0,150.0
random_forest,0.34975032806396483,0.006851537735186928,0.02916874885559082,0.00394642432271445,,"{'classifier__max_depth': 5, 'classifier__max_features': 'sqrt', 'classifier__min_samples_leaf': 3, 'classifier__n_estimators': 300}",0.9834881320949432,1.0,0.9896800825593395,0.9871001031991743,0.97781217750258,0.9876160990712075,0.007362666246331049,5,0.9560439560439561,0.978021978021978,0.9340659340659341,0.9340659340659341,0.967032967032967,0.9538461538461538,0.01758241758241757,15,0.96875,0.9444444444444444,0.9375,0.8888888888888888,0.9696969696969697,0.9418560606060605,0.02942650665555798,15,0.9117647058823529,1.0,0.8823529411764706,0.9411764705882353,0.9411764705882353,0.9352941176470588,0.03901911518065177,6,0.9393939393939394,0.9714285714285714,0.9090909090909091,0.9142857142857143,0.9552238805970149,0.9378846029592298,0.023723873289802716,15,5,sqrt,3.0,300.0
random_forest,0.2961899280548096,0.009317819448418953,0.017670726776123045,0.001401915465821262,,"{'classifier__max_depth': 5, 'classifier__max_features': 0.5, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 150}",0.9793601651186791,1.0,0.9932920536635707,0.9708462332301342,0.9752321981424148,0.9837461300309597,0.011076497721361182,16,0.945054945054945,1.0,0.9560439560439561,0.945054945054945,0.967032967032967,0.9626373626373625,0.020381579110979577,8,0.967741935483871,1.0,1.0,0.9142857142857143,0.9696969696969697,0.9703449238933111,0.03133265853040797,4,0.8823529411764706,1.0,0.8823529411764706,0.9411764705882353,0.9411764705882353,0.9294117647058824,0.04401949866792873,13,0.9230769230769231,1.0,0.9375,0.927536231884058,0.9552238805970149,0.9486674071115992,0.027943274176207466,8,5,0.5,1.0,150.0
random_forest,0.5792086601257325,0.011161320869030614,0.028040504455566405,0.0031535099555383556,,"{'classifier__max_depth': 5, 'classifier__max_features': 0.5, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 300}",0.9788441692466461,1.0,0.9927760577915377,0.9803921568627452,0.9749742002063985,0.9853973168214655,0.009426779976610266,15,0.945054945054945,1.0,0.9560439560439561,0.945054945054945,0.967032967032967,0.9626373626373625,0.020381579110979577,8,0.967741935483871,1.0,1.0,0.9142857142857143,0.9696969696969697,0.9703449238933111,0.03133265853040797,4,0.8823529411764706,1.0,0.8823529411764706,0.9411764705882353,0.9411764705882353,0.9294117647058824,0.04401949866792873,13,0.9230769230769231,1.0,0.9375,0.927536231884058,0.9552238805970149,0.9486674071115992,0.027943274176207466,8,5,0.5,1.0,300.0
random_forest,0.28176016807556153,0.008073567887739259,0.01923403739929199,0.0027704318936112504,,"{'classifier__max_depth': 5, 'classifier__max_features': 0.5, 'classifier__min_samples_leaf': 3, 'classifier__n_estimators': 150}",0.9767801857585139,1.0,0.9907120743034057,0.9855521155830753,0.9834881320949433,0.9873065015479877,0.007761236605557564,10,0.9560439560439561,1.0,0.9560439560439561,0.9340659340659341,0.978021978021978,0.964835164835165,0.02241327258722102,3,0.96875,1.0,1.0,0.8888888888888888,0.9705882352941176,0.9656454248366012,0.040708989774180894,6,0.9117647058823529,1.0,0.8823529411764706,0.9411764705882353,0.9705882352941176,0.9411764705882353,0.04159451654038516,4,0.9393939393939394,1.0,0.9375,0.9142857142857143,0.9705882352941176,0.9523535777947542,0.029800763466754386,4,5,0.5,3.0,150.0
